Old URL,Existing page status Code,New URL
https://quickstarts.snowflake.com/guide/vhol_snowflake_salesforce_tcrm/index.html/#0,301,www.snowflake.com/en/developers/guides/vhol-snowflake-salesforce-tcrm
https://quickstarts.snowflake.com/guide/vhol_snowflake_salesforce_tcrm/index.html?index=..%2F..index,301,www.snowflake.com/en/developers/guides/vhol-snowflake-salesforce-tcrm
https://quickstarts.snowflake.com/guide/vhol_snowflake_salesforce_tcrm/index.html?index=../..index,301,www.snowflake.com/en/developers/guides/vhol-snowflake-salesforce-tcrm
https://quickstarts.snowflake.com/guide/vhol_snowflake_salesforce_tcrm/index.html,301,www.snowflake.com/en/developers/guides/vhol-snowflake-salesforce-tcrm
https://quickstarts.snowflake.com/guide/vhol_snowflake_salesforce_tcrm/#0,301,www.snowflake.com/en/developers/guides/vhol-snowflake-salesforce-tcrm
https://quickstarts.snowflake.com/guide/vhol_snowflake_data_wrangler/index.html/#0,301,www.snowflake.com/en/developers/guides/vhol-snowflake-data-wrangler
https://quickstarts.snowflake.com/guide/vhol_snowflake_data_wrangler/index.html?index=../..index,301,www.snowflake.com/en/developers/guides/vhol-snowflake-data-wrangler
https://quickstarts.snowflake.com/guide/vhol_snowflake_data_wrangler/index.html,301,www.snowflake.com/en/developers/guides/vhol-snowflake-data-wrangler
https://quickstarts.snowflake.com/guide/vhol_snowflake_data_wrangler/#0,301,www.snowflake.com/en/developers/guides/vhol-snowflake-data-wrangler
https://quickstarts.snowflake.com/guide/vhol_snowflake_data_wrangler,301,www.snowflake.com/en/developers/guides/vhol-snowflake-data-wrangler
https://quickstarts.snowflake.com/guide/vhol_fivetran/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/vhol-fivetran
https://quickstarts.snowflake.com/guide/vhol_fivetran/index.html?index=../..index,200,www.snowflake.com/en/developers/guides/vhol-fivetran
https://quickstarts.snowflake.com/guide/vhol_fivetran/index.html,200,www.snowflake.com/en/developers/guides/vhol-fivetran
https://quickstarts.snowflake.com/guide/vhol_fivetran/#0,200,www.snowflake.com/en/developers/guides/vhol-fivetran
https://quickstarts.snowflake.com/guide/vhol_data_vault/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/vhol-data-vault
https://quickstarts.snowflake.com/guide/vhol_data_vault/index.html?index=../..index,200,www.snowflake.com/en/developers/guides/vhol-data-vault
https://quickstarts.snowflake.com/guide/vhol_data_vault/index.html,200,www.snowflake.com/en/developers/guides/vhol-data-vault
https://quickstarts.snowflake.com/guide/vhol_data_vault/#0,200,www.snowflake.com/en/developers/guides/vhol-data-vault
https://quickstarts.snowflake.com/guide/vhol_data_marketplace_app/index.html?index=../..index,200,www.snowflake.com/en/developers/guides/vhol-data-marketplace-app
https://quickstarts.snowflake.com/guide/vhol_data_marketplace_app/index.html,200,www.snowflake.com/en/developers/guides/vhol-data-marketplace-app
https://quickstarts.snowflake.com/guide/vhol_data_marketplace_app/#0,200,www.snowflake.com/en/developers/guides/vhol-data-marketplace-app
https://quickstarts.snowflake.com/guide/vhol_data_lake/index.html,301,www.snowflake.com/en/developers/guides/vhol-data-lake
https://quickstarts.snowflake.com/guide/validate_your_customer_identity_model_with_identityqa/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/validate-your-customer-identity-model-with-identityqa
https://quickstarts.snowflake.com/guide/validate_your_customer_identity_model_with_identityqa/index.html,200,www.snowflake.com/en/developers/guides/validate-your-customer-identity-model-with-identityqa
https://quickstarts.snowflake.com/guide/using_snowflake_cortex_and_streamlit_with_geospatial_data/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/using-snowflake-cortex-and-streamlit-with-geospatial-data
https://quickstarts.snowflake.com/guide/using_snowflake_cortex_and_streamlit_with_geospatial_data/index.html,200,www.snowflake.com/en/developers/guides/using-snowflake-cortex-and-streamlit-with-geospatial-data
https://quickstarts.snowflake.com/guide/using_snowflake_cortex_and_streamlit_with_geospatial_data/#0,404,www.snowflake.com/en/developers/guides/using-snowflake-cortex-and-streamlit-with-geospatial-data
https://quickstarts.snowflake.com/guide/using_snowflake_and_azure_openai_for_a_rag_workflow/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/using-snowflake-and-azure-openai-for-a-rag-workflow
https://quickstarts.snowflake.com/guide/using_snowflake_and_azure_openai_for_a_rag_workflow/index.html?index=../..index,200,www.snowflake.com/en/developers/guides/using-snowflake-and-azure-openai-for-a-rag-workflow
https://quickstarts.snowflake.com/guide/using_snowflake_and_azure_openai_for_a_rag_workflow/index.html,200,www.snowflake.com/en/developers/guides/using-snowflake-and-azure-openai-for-a-rag-workflow
https://quickstarts.snowflake.com/guide/using_snowflake_and_azure_openai_for_a_rag_workflow/#0,200,www.snowflake.com/en/developers/guides/using-snowflake-and-azure-openai-for-a-rag-workflow
https://quickstarts.snowflake.com/guide/using_precisely_enrich_data/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/using-precisely-enrich-data
https://quickstarts.snowflake.com/guide/using_precisely_enrich_data/index.html,200,www.snowflake.com/en/developers/guides/using-precisely-enrich-data
https://quickstarts.snowflake.com/guide/using_precisely_enrich_data/#0,200,www.snowflake.com/en/developers/guides/using-precisely-enrich-data
https://quickstarts.snowflake.com/guide/unlock_insights_from_unstructured_data_with_snowflake_cortex_ai/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/unlock-insightsom-unstructured-data-with-snowflake-cortex-ai
https://quickstarts.snowflake.com/guide/unlock_insights_from_unstructured_data_with_snowflake_cortex_ai/index.html,200,www.snowflake.com/en/developers/guides/unlock-insightsom-unstructured-data-with-snowflake-cortex-ai
https://quickstarts.snowflake.com/guide/unlock_insights_from_unstructured_data_with_snowflake_cortex_ai/#0,200,www.snowflake.com/en/developers/guides/unlock-insightsom-unstructured-data-with-snowflake-cortex-ai
https://quickstarts.snowflake.com/guide/triggering_real_time_notifications_using_dynamic_tables_and_census_live_syncs/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/triggering-real-time-notifications-using-dynamic-tables-and-census-live-syncs
https://quickstarts.snowflake.com/guide/triggering_real_time_notifications_using_dynamic_tables_and_census_live_syncs/index.html,200,www.snowflake.com/en/developers/guides/triggering-real-time-notifications-using-dynamic-tables-and-census-live-syncs
https://quickstarts.snowflake.com/guide/triggering_real_time_notifications_using_dynamic_tables_and_census_live_syncs,301,www.snowflake.com/en/developers/guides/triggering-real-time-notifications-using-dynamic-tables-and-census-live-syncs
https://quickstarts.snowflake.com/guide/transform_your_data_with_coalesce/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/transform-your-data-with-coalesce
https://quickstarts.snowflake.com/guide/transform_your_data_with_coalesce/index.html,200,www.snowflake.com/en/developers/guides/transform-your-data-with-coalesce
