file,old_url,new_url,kind,count
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-zero-to-snowflake-transformation-it/tasty-bytes-zero-to-snowflake-transformation-it.md,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction_it,/it/developers/guides/tasty-bytes-introduction-it/,link_replacement,2
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-introduction-es/tasty-bytes-introduction-es.md,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction_es,/es/developers/guides/tasty-bytes-introduction-es/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-introduction-es/tasty-bytes-introduction-es.md,https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_es,/es/developers/guides/tasty-bytes-zero-to-snowflake-transformation-es/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-introduction-es/tasty-bytes-introduction-es.md,https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_semi_structured_data_es,/es/developers/guides/tasty-bytes-zero-to-snowflake-semi-structured-data-es/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-introduction-es/tasty-bytes-introduction-es.md,https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_collaboration_es,/es/developers/guides/tasty-bytes-zero-to-snowflake-collaboration-es/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-introduction-fr/tasty-bytes-introduction-fr.md,https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_fr,/fr/developers/guides/tasty-bytes-zero-to-snowflake-transformation-fr/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-introduction-fr/tasty-bytes-introduction-fr.md,https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_semi_structured_data_fr,/fr/developers/guides/tasty-bytes-zero-to-snowflake-semi-structured-data-fr/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-introduction-fr/tasty-bytes-introduction-fr.md,https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_collaboration_fr,/fr/developers/guides/tasty-bytes-zero-to-snowflake-collaboration-fr/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-snowpark-101-for-data-science-kr/tasty-bytes-snowpark-101-for-data-science-kr.md,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction_kr,/en/developers/guides/tasty-bytes-introduction-kr/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-zero-to-snowflake-semi-structured-data-ptbr/tasty-bytes-zero-to-snowflake-semi-structured-data-ptbr.md,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction_ptbr,/pt_br/developers/guides/tasty-bytes-introduction-ptbr/,link_replacement,2
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-zero-to-snowflake-collaboration-ptbr/tasty-bytes-zero-to-snowflake-collaboration-ptbr.md,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction_ptbr,/pt_br/developers/guides/tasty-bytes-introduction-ptbr/,link_replacement,2
