SessionID,Severity,Code,Name,Description,ParentFileName,ComponentFullName,MigrationID
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""etl_results.etl_logs""",daily_sales_agg.dtsx,Package\insert_end_log,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""etl_results.etl_logs""",daily_sales_agg.dtsx,Package\insert_start_log,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,Low,SSC-FDM-SSIS0004,Add an ORDER BY clause to ensure sorted output. SSIS Merge Join requires sorted inputs and produces a sorted output.,"ADD AN ORDER BY CLAUSE TO ENSURE SORTED OUTPUT. THE SSIS MERGE JOIN TRANSFORMATION ASSUMES SORTED INPUTS AND NATURALLY PRODUCES A SORTED, DETERMINISTIC OUTPUT. THE EQUIVALENT SQL JOIN DOES NOT GUARANTEE ORDER.",daily_sales_agg.dtsx,Package\df_load_daily_sales\Merge Join,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""TastyBytes.Inventory""",update_truck_inventories.dtsx,Package\update_inventory_truck2,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""TastyBytes.Inventory""",update_truck_inventories.dtsx,Package\update_inventory_truck1,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,High,SSC-EWI-SSIS0004,SSIS Control Flow Element cannot be converted.,SSIS CONTROL FLOW ELEMENT Microsoft.ScriptTask CANNOT BE CONVERTED TO SNOWFLAKE SCRIPTING.,update_truck_inventories.dtsx,Package\Script Task,JmWeAWK07nK+5zZKD9nimA==
