SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size,SourceLanguage,MigrationID
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0020,Multiple result sets are returned in temporary tables,MULTIPLE RESULT SETS ARE RETURNED IN TEMPORARY TABLES,tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,12,1,TastyBytesDB,TastyBytes,N/A,"sp_UpdateInventory(INT,DATETIME)","TastyBytesDB.TastyBytes.sp_UpdateInventory(INT,DATETIME)",CREATE PROCEDURE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0029,"SET NOCOUNT statement is commented out, which is not applicable in Snowflake.","SET NOCOUNT STATEMENT IS COMMENTED OUT, WHICH IS NOT APPLICABLE IN SNOWFLAKE.",tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,14,5,TastyBytesDB,TastyBytes,N/A,"sp_UpdateInventory(INT,DATETIME)","TastyBytesDB.TastyBytes.sp_UpdateInventory(INT,DATETIME)",CREATE PROCEDURE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0002,Some Collate Specifier Value Is Not Supported,COLLATION FOR VALUE CP1 NOT SUPPORTED,tastybytesdb/tastybytes/table/inventory.sql,12,33,TastyBytesDB,TastyBytes,N/A,Inventory,TastyBytesDB.TastyBytes.Inventory,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0012,Constraint Name in some constraints is not Supported,CONSTRAINT NAME 'DF__EmployeeS__Creat__5DCAEF64' IN DEFAULT EXPRESSION CONSTRAINT IS NOT SUPPORTED IN SNOWFLAKE,tastybytesdb/tastybytes/table/employeeshift.sql,14,33,TastyBytesDB,TastyBytes,N/A,EmployeeShift,TastyBytesDB.TastyBytes.EmployeeShift,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-PRF-0002,Case insensitive columns can decrease performance of queries,CASE INSENSITIVE COLUMNS CAN DECREASE THE PERFORMANCE OF QUERIES,tastybytesdb/tastybytes/table/inventory.sql,12,33,TastyBytesDB,TastyBytes,N/A,Inventory,TastyBytesDB.TastyBytes.Inventory,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0012,Constraint Name in some constraints is not Supported,CONSTRAINT NAME 'DF__EmployeeSh__Role__5CD6CB2B' IN DEFAULT EXPRESSION CONSTRAINT IS NOT SUPPORTED IN SNOWFLAKE,tastybytesdb/tastybytes/table/employeeshift.sql,12,68,TastyBytesDB,TastyBytes,N/A,EmployeeShift,TastyBytesDB.TastyBytes.EmployeeShift,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0012,Constraint Name in some constraints is not Supported,CONSTRAINT NAME 'DF__Inventory__Reord__5AEE82B9' IN DEFAULT EXPRESSION CONSTRAINT IS NOT SUPPORTED IN SNOWFLAKE,tastybytesdb/tastybytes/table/inventory.sql,10,42,TastyBytesDB,TastyBytes,N/A,Inventory,TastyBytesDB.TastyBytes.Inventory,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0002,Some Collate Specifier Value Is Not Supported,COLLATION FOR VALUE CP1 NOT SUPPORTED,tastybytesdb/tastybytes/table/employeeshift.sql,12,22,TastyBytesDB,TastyBytes,N/A,EmployeeShift,TastyBytesDB.TastyBytes.EmployeeShift,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-PRF-0002,Case insensitive columns can decrease performance of queries,CASE INSENSITIVE COLUMNS CAN DECREASE THE PERFORMANCE OF QUERIES,tastybytesdb/tastybytes/table/employeeshift.sql,12,22,TastyBytesDB,TastyBytes,N/A,EmployeeShift,TastyBytesDB.TastyBytes.EmployeeShift,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0002,Some Collate Specifier Value Is Not Supported,COLLATION FOR VALUE CP1 NOT SUPPORTED,tastybytesdb/tastybytes/table/inventory.sql,9,31,TastyBytesDB,TastyBytes,N/A,Inventory,TastyBytesDB.TastyBytes.Inventory,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
