archived_id,found_path,action,note
operationalizing_ai_with_snowflake_and_datarobot,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/operationalizing_ai_with_snowflake_and_datarobot,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/operationalizing_ai_with_snowflake_and_datarobot
operationalizing_ai_with_snowflake_and_datarobot,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/operationalizing_ai_with_snowflake_and_datarobot/operationalizing_ai_with_snowflake_and_datarobot.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/operationalizing_ai_with_snowflake_and_datarobot/operationalizing_ai_with_snowflake_and_datarobot.md'
build_rag_based_blog_ai_assistant_using_streamlit_openai_and_llamaindex,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/build_rag_based_blog_ai_assistant_using_streamlit_openai_and_llamaindex,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/build_rag_based_blog_ai_assistant_using_streamlit_openai_and_llamaindex
build_rag_based_blog_ai_assistant_using_streamlit_openai_and_llamaindex,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/build_rag_based_blog_ai_assistant_using_streamlit_openai_and_llamaindex/build_rag_based_blog_ai_assistant_using_streamlit_openai_and_llamaindex.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/build_rag_based_blog_ai_assistant_using_streamlit_openai_and_llamaindex/build_rag_based_blog_ai_assistant_using_streamlit_openai_and_llamaindex.md'
ask-questions-to-your-documents-using-rag-with-snowflake-cortex,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/ask-questions-to-your-documents-using-rag-with-snowflake-cortex,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/ask-questions-to-your-documents-using-rag-with-snowflake-cortex
ask-questions-to-your-documents-using-rag-with-snowflake-cortex,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/ask-questions-to-your-documents-using-rag-with-snowflake-cortex/ask-questions-to-your-documents-using-rag-with-snowflake-cortex.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/ask-questions-to-your-documents-using-rag-with-snowflake-cortex/ask-questions-to-your-documents-using-rag-with-snowflake-cortex.md'
developing-react-native-applications-using-hybrid-tables-sql-alchemy-flask,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/developing-react-native-applications-using-hybrid-tables-sql-alchemy-flask,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/developing-react-native-applications-using-hybrid-tables-sql-alchemy-flask
developing-react-native-applications-using-hybrid-tables-sql-alchemy-flask,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/developing-react-native-applications-using-hybrid-tables-sql-alchemy-flask/developing-react-native-applications-using-hybrid-tables-sql-alchemy-flask.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/developing-react-native-applications-using-hybrid-tables-sql-alchemy-flask/developing-react-native-applications-using-hybrid-tables-sql-alchemy-flask.md'
improvado,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/improvado,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/improvado
improvado,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/improvado/improvado.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/improvado/improvado.md'
